Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1928,Joshua Moon,JAX,null,null,FS,null,null,null,null,null,null,null
1929,Dylan Cantrell,LAC,null,null,TE,null,null,null,null,null,null,null
1930,Nate Ebner,NE,null,null,SS,null,null,null,null,null,null,null
1931,Justin Bethel,BAL,null,null,CB,null,null,null,null,null,null,null
1932,Ra'Shede Hageman,ATL,null,null,DT,null,null,null,null,null,null,null
1933,Dontae Johnson,SF,null,null,CB,null,null,null,null,null,null,null
1934,Jonathan Anderson,NYG,null,null,ILB,null,null,null,null,null,null,null
1935,Kevin Peterson,LAR,null,null,CB,null,null,null,null,null,null,null
1936,Stevie Tu'ikolovatu,TB,null,null,NT,null,null,null,null,null,null,null
1937,Karter Schult,MIN,null,null,DE,null,null,null,null,null,null,null
1938,Kameron Kelly,PIT,null,null,FS,null,null,null,null,null,null,null
1939,Craig James,MIN,null,null,CB,null,null,null,null,null,null,null
1940,Wyatt Ray,CLE,null,null,DE,null,null,null,null,null,null,null
1941,Connor Strachan,JAX,null,null,ILB,null,null,null,null,null,null,null
1942,Te'von Coney,LV,null,null,ILB,null,null,null,null,null,null,null
1943,D'Cota Dixon,TB,null,null,FS,null,null,null,null,null,null,null
1944,Kahzin Daniels,TB,null,null,OLB,null,null,null,null,null,null,null
1945,Javier Edwards,HOU,null,null,NT,null,null,null,null,null,null,null
1946,Chris Peace,LAC,null,null,OLB,null,null,null,null,null,null,null
1947,Austin Exford,HOU,null,null,FS,null,null,null,null,null,null,null
1948,Myquon Stout,NYJ,null,null,DE,null,null,null,null,null,null,null
1949,Cam Lewis,BUF,null,null,CB,null,null,null,null,null,null,null
1950,Kyron Brown,NYJ,null,null,CB,null,null,null,null,null,null,null
1951,John Battle,TB,null,null,SS,null,null,null,null,null,null,null
1952,Santos Ramirez,NYJ,null,null,FS,null,null,null,null,null,null,null
1953,Koa Farmer,LV,null,null,OLB,null,null,null,null,null,null,null
1954,Dedrick Young,CLE,null,null,ILB,null,null,null,null,null,null,null
1955,Yurik Bethune,ATL,null,null,DE,null,null,null,null,null,null,null
1956,Immanuel Turner,CIN,null,null,DE,null,null,null,null,null,null,null
1957,Miles Brown,ARI,null,null,NT,null,null,null,null,null,null,null
1958,Parker Baldwin,ATL,null,null,SS,null,null,null,null,null,null,null
1959,Noah Dawkins,CIN,null,null,LB,null,null,null,null,null,null,null
