"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Trevor Davis","WR","GB","-","1","1","bye","0","0","0","4","0","1","0","0","-","-","-","-","0","7","0.6"
"Danny Vitale","RB","CLE","-","-","-","-","-","-","-","0","0","0","0","1","bye","1","1","1","1","5","0.6"
"Joshua Perkins","TE","ATL","-","-","-","-","-","-","-","-","1","0","bye","0","0","0","1","3","0","5","0.6"
"Alex Erickson","WR","CIN","0","1","0","0","0","0","0","0","bye","0","2","1","1","2","0","1","0","8","0.5"
"MyCole Pruitt","TE","CHI","-","-","-","1","0","-","-","-","bye","-","-","-","-","-","-","0","1","2","0.5"
"Ben Braunecker","TE","CHI","-","-","-","0","0","0","0","1","bye","0","0","2","0","0","0","3","0","6","0.5"
"Troymaine Pope","RB","SEA","-","-","-","-","bye","-","0","-","-","-","0","-","1","1","-","-","-","2","0.5"
"Kalif Raymond","WR","DEN","-","-","-","-","-","-","-","-","-","-","bye","-","0","0","-","1","1","2","0.5"
"Peyton Barber","RB","TB","0","-","0","0","0","bye","0","0","5","0","0","1","0","0","0","0","0","6","0.4"
"Anthony Sherman","RB","KC","0","0","1","0","bye","1","1","0","1","0","0","0","0","0","1","0","1","6","0.4"
"Tyler Ervin","RB","HOU","2","0","0","0","0","2","1","0","bye","0","0","-","-","-","-","0","0","5","0.4"
"Alfred Morris","RB","DAL","1","0","1","0","1","0","bye","0","0","1","0","0","0","0","-","-","2","6","0.4"
"James Develin","RB","NE","0","0","0","0","0","0","0","0","bye","0","0","2","1","1","1","1","0","6","0.4"
"Nick Vannett","TE","SEA","-","-","-","-","bye","0","1","1","0","0","-","0","2","0","0","-","-","4","0.4"
"Taiwan Jones","RB","OAK","2","0","0","-","-","0","-","0","0","-","0","1","1","0","0","0","0","4","0.3"
"Derek Watt","RB","SD","0","0","1","0","0","1","0","1","0","0","-","0","0","0","0","1","0","4","0.3"
"Brandon Bolden","RB","NE","0","0","0","3","-","-","1","0","bye","0","0","0","0","0","0","0","0","4","0.3"
"Laquon Treadwell","WR","MIN","-","0","-","0","0","bye","-","0","1","-","0","0","2","0","-","-","-","3","0.3"
"Derek Carrier","TE","WAS","-","-","-","-","-","-","-","-","bye","0","0","1","1","0","0","0","0","2","0.3"
"Johnny Holton","WR","OAK","0","1","0","0","0","0","0","0","0","-","-","1","0","0","0","0","1","3","0.2"
"James O'Shaughnessy","TE","KC","0","0","0","0","bye","0","0","0","1","0","0","1","0","0","1","0","0","3","0.2"
"Keith Smith","RB","DAL","0","1","0","1","0","0","bye","1","0","0","0","0","0","0","0","0","0","3","0.2"
"Malcolm Brown","RB","LAR","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","3","0.2"
"Jonathan Williams","RB","BUF","-","-","0","0","-","0","-","0","0","bye","1","1","0","-","0","0","0","2","0.2"
"Roosevelt Nix","RB","PIT","-","-","-","-","-","0","0","bye","-","0","0","0","0","0","0","0","2","2","0.2"
"Jakeem Grant Sr.","WR","MIA","0","0","0","0","0","0","0","bye","1","0","0","0","0","0","0","0","0","1","0.1"
"Dwayne Harris","WR","NYG","0","0","0","0","0","0","0","bye","0","0","0","1","0","0","0","0","0","1","0.1"
"Rod Smith","RB","DAL","0","0","0","0","1","0","bye","0","-","-","-","-","-","-","-","-","-","1","0.1"
"Michael Burton","RB","DET","0","0","0","0","0","0","0","0","1","bye","0","0","0","0","0","0","-","1","0.1"
"Matthew Slater","WR","NE","0","1","0","0","0","0","0","0","bye","0","0","-","-","0","0","-","0","1","0.1"
"Chris Manhertz","TE","CAR","-","0","0","0","-","-","bye","-","-","-","0","0","-","-","-","1","0","1","0.1"
"Maxx Williams","TE","BAL","0","0","0","0","-","-","-","bye","-","-","-","-","-","-","-","-","-","0","0.0"
"Demarcus Robinson","WR","KC","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0"
"James Winchester","TE","KC","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0"
"Beau Brinkley","TE","TEN","0","0","0","0","0","0","0","0","0","0","0","0","bye","0","0","0","0","0","0.0"
"Clark Harris","TE","CIN","0","0","0","0","0","0","0","0","bye","0","0","-","-","-","0","0","0","0","0.0"
"Kyle Nelson","TE","SF","0","0","0","0","0","0","0","bye","0","0","0","0","0","0","0","0","0","0","0.0"
"Temarrick Hemingway","TE","LAR","-","0","-","0","0","-","0","bye","-","-","-","-","-","0","0","0","0","0","0.0"
"Raheem Mostert","RB","SF","-","-","0","0","-","-","-","bye","-","-","-","-","-","-","-","-","0","0","0.0"
"Eric Tomlinson","TE","NYJ","-","-","-","-","-","-","-","-","-","0","bye","0","0","0","0","0","0","0","0.0"
""
""
