"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","TTL","AVG"
"Russell Shepard","WR","NYG","0","3","5","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","8","2.7"
"Latavius Murray","RB","NO","3","1","0","1","2","3","6","12","bye","2","3","0","0","3","3","3","1","43","2.7"
"Christian Blake","WR","ATL","-","-","-","-","-","-","-","0","bye","2","1","9","9","0","1","0","2","24","2.7"
"LeSean McCoy","RB","KC","1","3","3","4","2","2","2","4","1","-","6","bye","3","3","0","-","-","34","2.6"
"Mecole Hardman","WR","KC","1","6","5","5","6","4","3","2","0","1","4","bye","0","1","2","0","1","41","2.6"
"J.D. McKissic","RB","DET","2","0","0","2","bye","3","3","3","4","7","4","2","3","4","3","0","2","42","2.6"
"Blake Jarwin","TE","DAL","3","1","3","3","0","4","1","bye","1","4","2","4","3","7","3","1","1","41","2.6"
"Isaiah McKenzie","WR","BUF","0","2","1","0","2","bye","3","-","3","4","6","3","3","5","0","2","5","39","2.6"
"DeAndre Washington","RB","OAK","0","2","0","3","3","-","1","1","1","2","2","1","3","7","3","3","9","41","2.6"
"Scotty Miller","WR","TB","-","-","0","1","2","7","bye","1","2","3","6","1","-","-","3","-","-","26","2.6"
"Joshua Perkins","TE","PHI","-","-","-","-","-","-","-","-","-","bye","-","-","0","5","0","2","6","13","2.6"
"Jeremy Sprinkle","TE","WAS","1","1","4","3","3","3","2","2","1","bye","3","2","4","0","2","3","6","40","2.5"
"David Njoku","TE","CLE","6","1","-","-","-","-","bye","-","-","-","-","-","-","3","-","-","0","10","2.5"
"C.J. Uzomah","TE","CIN","5","0","1","1","2","3","0","2","bye","0","5","1","6","2","2","4","6","40","2.5"
"Ronald Jones II","RB","TB","1","0","1","1","3","0","bye","3","2","8","4","3","0","5","3","4","2","40","2.5"
"T.J. Yeldon","RB","BUF","0","0","3","4","4","bye","-","-","-","-","-","-","-","-","-","-","4","15","2.5"
"Pharoh Cooper","WR","ARI","0","-","-","-","2","4","4","0","2","5","4","bye","6","1","1","2","2","33","2.5"
"J.J. Nelson","WR","OAK","0","-","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5","2.5"
"Javon Wims","WR","CHI","2","0","1","5","1","bye","1","0","0","0","2","2","6","3","0","9","7","39","2.4"
"Hayden Hurst","TE","BAL","3","1","5","2","4","1","2","bye","2","2","2","1","4","3","2","3","2","39","2.4"
"Boston Scott","RB","PHI","-","-","-","-","-","0","1","0","0","bye","0","0","0","6","7","6","6","26","2.4"
"Benjamin Watson","TE","NE","-","-","-","-","-","-","5","1","5","bye","4","1","1","3","0","3","1","24","2.4"
"Keelan Cole Sr.","WR","JAC","0","0","0","1","1","0","2","2","6","bye","5","2","2","3","6","2","4","36","2.3"
"Tajae Sharpe","WR","TEN","2","2","3","0","1","2","3","3","4","1","bye","0","-","4","2","6","2","35","2.3"
"Chester Rogers","WR","IND","0","4","0","6","2","bye","2","2","5","4","2","1","0","-","-","-","-","28","2.3"
"Marquise Goodwin","WR","SF","3","3","2","bye","4","3","1","-","-","3","2","-","0","-","-","-","-","21","2.3"
"David Moore","WR","SEA","0","-","2","2","2","4","3","4","4","1","bye","2","4","2","0","2","2","34","2.3"
"Tre'Quan Smith","WR","NO","2","3","-","-","0","-","-","-","bye","2","1","3","2","4","1","2","5","25","2.3"
"Dan Arnold","TE","ARI","0","-","-","-","-","-","1","3","-","-","-","bye","-","-","1","3","6","14","2.3"
"Devin Smith","WR","DAL","0","3","5","1","-","-","-","bye","-","-","-","-","-","-","-","-","-","9","2.3"
"David Montgomery","RB","CHI","1","3","3","5","1","bye","2","5","4","0","3","3","2","1","1","1","0","35","2.2"
"Seth Roberts","WR","BAL","1","0","2","5","2","2","4","bye","1","0","1","4","2","4","3","3","1","35","2.2"
"Tommy Sweeney","TE","BUF","2","1","3","0","2","bye","-","-","-","-","-","-","-","-","-","-","5","13","2.2"
